County_Name,FIPS,Incidence,Mortality,Population_2010,UIC_2013,Description,State,Counts_Incidence,Counts_Mortality,state_c,RUCC_2013,descriptionRUCC
Sullivan County,29211,431.60000000000000,204.60000000000000,6714,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,38,18,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Taney County,29213,410.80000000000000,171.10000000000000,51675,5,Micropolitan adjacent to a small metro area,MO,290,122,0,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Texas County,29215,400.50000000000000,164.50000000000000,26008,9,"Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",MO,141,60,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Vernon County,29217,427.90000000000000,200.80000000000000,21159,11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",MO,115,57,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Warren County,29219,467.60000000000000,176.40000000000000,32513,1,Large-in a metro area with at least 1 million residents or more,MO,185,70,0,1,Metro - Counties in metro areas of 1 million population or more
Washington County,29221,451.50000000000000,207.20000000000000,25195,4,Noncore adjacent to a large metro area,MO,135,60,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Wayne County,29223,509.70000000000000,233.90000000000000,13521,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,104,49,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Webster County,29225,426.20000000000000,162.80000000000000,36202,2,Small-in a metro area with fewer than 1 million residents,MO,174,64,0,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Worth County,29227,420.70000000000000,188.10000000000000,2171,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,15,7,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Wright County,29229,447.70000000000000,194.30000000000000,18815,6,"Noncore adjacent to a small metro with town of at least 2,500 residents",MO,110,50,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
St. Louis city,29510,500.60000000000000,209.70000000000000,319294,1,Large-in a metro area with at least 1 million residents or more,MO,1599,656,0,1,Metro - Counties in metro areas of 1 million population or more
